morada_ID,MORADA,FREG_2012
283,Rua Prof. Fernando de Mello Moser,Lumiar
284,Jardim Bento Martins,Carnide
285,Rua Virgílio Correia,São Domingos de Benfica
286,Rua João de Freitas Branco,São Domingos de Benfica
287,Rua 31,Benfica
288,Rua João Ortigão Ramos,Benfica
289,Rua 4A,Benfica
290,Rua 33A,Benfica
291,Rua Engº Ferreira Dias,Marvila
292,Calçada da Estação,Campolide
293,Rua da Escola de Medicina Veterinária,Arroios
294,Rua Capitão Henrique Galvão,Areeiro
295,Doca de Alcântara,Estrela
296,Rua de Santos-o-Velho,Estrela
297,Rua Sampaio Bruno,Campo de Ourique
298,Rua 38A,Penha de França
299,Rua Abel Manta,Benfica
300,Rua Prof. Manuel Cavaleiro Ferreira,Lumiar
301,Rua Prof. João de Castro Mendes,Lumiar
302,Azinhaga das Lajes,Lumiar
303,Rua Maria Margarida,Lumiar
304,Não identificada,Santa Clara
305,,Carnide
306,Rua José Escada,Lumiar
307,Praça José Fontana,Arroios
308,Rua Cristóvão de Figueiredo,Avenidas Novas
309,Rua Marquês de Sá da Bandeira,Avenidas Novas
310,Rua Vitor Hugo,Areeiro
311,Rua do Passadiço,Santo António
312,Rua Vítor Santos,Carnide
313,Rua do Parque,Benfica
314,Rua Doutor Gregório Rodrigues Fernandes,São Domingos de Benfica
315,Largo República da Turquia,Lumiar
316,Rua 24,Lumiar
317,Rua 30,Lumiar
318,Rua Dr. Henrique Martins Gomes,Lumiar
319,Rua do Rio Tejo,Carnide
320,Rua Daniel Santa Rita,Lumiar
321,Rua 21,Lumiar
322,Rua 16,Lumiar
323,Rua 17,Lumiar
324,Rua Prof. José Pinto Correia,Lumiar
325,Rua João Amaral,Santa Clara
326,Avenida Nuno Krus Abecassis,Santa Clara
327,Rua Cordeiro Ferreira,Lumiar
328,Rua Luís de Freitas Branco,Lumiar
329,Rua Vila de Catió,Olivais
330,Rua de Manica,Olivais
331,Rua de Manhiça,Olivais
332,Avenida Marechal Craveiro Lopes,Alvalade
333,Eixo Norte-Sul,Campolide
334,Rua do Garcia à Cascalheira,Campolide
335,Rua Palmira,Arroios
336,Avenida da Liberdade,Santo António
337,Calçada Ribeiro Santos,Estrela
338,Rua da Quinta do Loureiro,Campo de Ourique
339,Campo de Santa Clara,São Vicente
340,Largo Dr. Bernardino António Gomes (Pai),São Vicente
341,Rua Freitas Gazul,Campo de Ourique
342,Caracol da Graça,São Vicente
343,Rua Francisco Santos,São Domingos de Benfica
344,Largo Mário Neves,São Domingos de Benfica
345,Rua Rainha D. Maria I,Benfica
346,Rua Professor Lima Basto,São Domingos de Benfica
347,Rua 20,Lumiar
348,Estrada da Torre,Lumiar
349,Rua 10 - PUAL,Lumiar
350,Rua E - PUAL,Lumiar
351,Rua Marques da Silva,Arroios
352,Avenida José Malhoa,Campolide
353,Rua Cardeal Saraiva,Campolide
354,Rua Egas Moniz,Areeiro
355,Avenida Barbosa du Bocage,Avenidas Novas
356,Rua Capitão Afonso Pala,Estrela
357,Calçadinha do Tijolo,São Vicente
358,Praça de Dom Luís I,Misericórdia
359,Vila Amorim,Campo de Ourique
360,Calçada da Cruz da Pedra,Penha de França
361,Rua Fernando Lopes Graça,Lumiar
362,Rua Prof. Pais da Silva,Carnide
363,Rua Francisco da Conceição Silva,Lumiar
364,Rua 11,Lumiar
365,Rua A,Benfica
366,Rua dos Sete Céus,Santa Clara
367,Rua Professor Sedas Nunes,Carnide
368,Rua Prof. Vieira de Almeida,Lumiar
369,Rua Cipriano Dourado,Lumiar
370,Avenida Padre Cruz,Lumiar
371,Rua 15,Lumiar
372,Rua 18,Lumiar
373,Rua José Galhardo,Lumiar
374,Rua Francisco de Assis Rodrigues,Campolide
375,Avenida Duque de Loulé,Arroios
376,Rua Coronel Bento Roma,Alvalade
377,Acesso Ponte 25 de Abril,Campolide
378,Rua José da Felicidade Alves,Campolide
379,Auto-Estrada 5,Campo de Ourique
380,Rua da Cintura do Porto de Lisboa,Penha de França
381,Acesso Ponte 25 de Abril,Campo de Ourique
382,Auto-Estrada 5,Campolide
383,Avenida Infante Dom Henrique,São Vicente
384,Avenida dos Combatentes,São Domingos de Benfica
385,Rua Conde de Almoster,São Domingos de Benfica
386,Rua Comandante Enrique Maya,Benfica
387,Rua Dom Luís da Cunha,Alvalade
388,Beco Contrabandistas,Estrela
389,Rua da Cintura do Porto de Lisboa,Estrela
390,Rua das Palmeiras,São Domingos de Benfica
391,Rua Manuel Ferreira de Andrade,São Domingos de Benfica
392,Rua Xavier de Araújo,São Domingos de Benfica
393,Travessa do Pregoeiro,Carnide
394,Estrada da Pontinha,Carnide
395,Rua Prof. Miller Guerra,Carnide
396,Rua 13,Lumiar
397,Rua Agostinho Neto,Lumiar
398,Azinhaga da Torre do Fato,Lumiar
399,Rua Professor Xavier Morato,Lumiar
400,Rua Prof. Lindley Cintra,Carnide
401,Rua 25,Lumiar
402,Avenida de Berlim,Olivais
403,Rua Jorge Barradas,Benfica
404,Praça de Espanha,Avenidas Novas
405,Rua de Fernando Pedroso,Areeiro
406,Rua de Dom Luís de Noronha,Avenidas Novas
407,Avenida de Berna,Avenidas Novas
408,Largo da Achada,Santa Maria Maior
409,Praça Doutor Teixeira de Aragão,Benfica
410,Rua Actor Robles Monteiro,Benfica
411,Rua da Casquilha,Benfica
412,Estrada do Paço do Lumiar,Carnide
413,Rua 16,Benfica
414,Largo Francisco Smith,Carnide
415,Azinhaga de Entremuros,Lumiar
416,Rua Helena Vaz da Silva,Lumiar
417,Rua Pedro Bandeira,Lumiar
418,Rua A - PUAL,Lumiar
419,Rua Pedro de Queirós Pereira,Lumiar
420,Rua Fernando Piteira Santos,Carnide
421,Avenida Ventura Terra,Lumiar
422,Rua  A - PUAL,Lumiar
423,Rua Américo de Jesus Fernandes,Olivais
424,,Penha de França
425,Rua João Cunha Serra,Olivais
426,Rua Acúrsio Pereira,Olivais
427,Avenida Cidade de Lourenço Marques,Olivais
428,Rua Alferes Malheiro,Alvalade
429,Rua 11,Estrela
430,Avenida Tenente Martins,Benfica
431,Estrada de A-da-Maia,Benfica
432,Rua 20,Benfica
433,Rua Cidade de Cabinda,Olivais
434,Avenida Marechal Craveiro Lopes,Lumiar
435,"Pátio do Brasileiro (Estrada das Laranjeiras, 130)",Avenidas Novas
436,Rua Guilherme Anjos,Campo de Ourique
437,Travessa do Almargem,Santa Maria Maior
438,Rua Maria Carlota,Lumiar
439,Avenida Santos e Castro,Lumiar
440,Avenida Grão Vasco,Benfica
441,Rua Mestre Lima de Freitas,Benfica
442,Rua do Rio Dão,Carnide
443,Rua Martin Luther King,Santa Clara
444,Azinhaga da Cidade,Santa Clara
445,Avenida de Ceuta,Alcântara
446,Avenida da Ponte 25 de Abril,Alcântara
447,Rua 50,Penha de França
448,Travessa de José António Pereira,Estrela
449,Rotunda das Olaias,Penha de França
450,Avenida Mouzinho de Albuquerque,Penha de França
451,Rua General José Celestino da Silva,São Domingos de Benfica
452,Avenida General Correia Barreto,Benfica
453,Rua 34,Benfica
454,Rua 22,Benfica
455,Rua 11,Benfica
456,Rua Actriz Adelina Abranches,Benfica
457,Rua Paz dos Reis,Benfica
458,Avenida Lusíada,Benfica
459,Avenida Cidade de Praga,Carnide
460,Impasse à Rua Sousa Loureiro,São Domingos de Benfica
461,Rua do Alto do Duque,Belém
462,Avenida da Índia,Alcântara
463,Rua João de Lemos,Alcântara
464,,Benfica
465,Largo Hintze Ribeiro,Santo António
466,Vila Henriques,Campolide
467,Rua Tomás Ribeiro,Arroios
468,Rua Ferreira Borges,Campo de Ourique
469,Rua 12,Lumiar
470,Praça Artur Portela,Benfica
471,Rua Públia Hortênsia de Castro,Carnide
472,Avenida Dr. José Salvado Sampaio,Santa Clara
473,Largo das Galinheiras,Santa Clara
474,Rua António Janeiro,Belém
475,Rua da Centieira,Parque das Nações
476,Rua Conde das Antas,Campolide
477,Rua Heliodoro Salgado,Arroios
478,Praça de Espanha,Campolide
479,Avenida Engenheiro Duarte Pacheco,Campolide
480,Rua Filipe Duarte,Lumiar
481,Avenida General Norton de Matos,Carnide
482,Rua Prof. Tiago de Oliveira,Carnide
483,Travessa do Paraíso,São Vicente
484,São Domingos de Benfica,Benfica
485,Rua Doutor António Cândido,Avenidas Novas
486,Avenida General Norton de Matos,Lumiar
487,Rua Professor Pinto Peixoto,Lumiar
488,Estrada da Serafina,Benfica
489,Rua G 1,Santa Clara
490,Rua Cidade de Nova Lisboa,Olivais
491,Rua José Maria Nicolau,Carnide
492,Rua Interior Particular,Avenidas Novas
493,Calçada do Duque,Misericórdia
494,Rua do Rio Távora,Carnide
495,Rua do Rio Zêzere,Carnide
496,Rua José da Purificação Chaves,Benfica
497,Rua Mariano Pina,São Domingos de Benfica
498,Rua Fernando Curado Ribeiro,Lumiar
499,Não identificada,Alcântara
500,Circular Norte do Bairro da Encarnação,Olivais
501,Avenida João Crisóstomo,Avenidas Novas
502,Rua Inácio Pardelhas Sanchez,Campolide
503,Azinhaga das Murtas,Alvalade
504,Calçada de São Vicente,Santa Maria Maior
505,Rua Possidónio da Silva,Estrela
506,Rua Cândido de Figueiredo,São Domingos de Benfica
507,Avenida General Norton de Matos,Benfica
508,Avenida Mouzinho de Albuquerque,São Vicente
509,Não identificada,São Domingos de Benfica
510,Rua 22,Lumiar
511,RUA B - PUAL,Lumiar
512,Escadinhas do Alto do Restelo,Belém
513,Acesso Ponte 25 de Abril,Alcântara
514,Rua Luis Cristino da Silva,
515,Rua Luís Cristino da Silva,
516,Rua Alberto de Oliveira,Alvalade
517,Avenida de Sidónio Pais,Avenidas Novas
518,Rua R,Estrela
519,Estrada do Calhariz de Benfica,Benfica
520,Rua Prof. Luís Reis Santos,Lumiar
521,Rua Manuela Porto,Carnide
522,Rua 10,Lumiar
523,Rua Prof. Arsénio Cordeiro,Lumiar
524,Rua Padre Américo,Carnide
525,Não identificada,Ajuda
526,Rua de Pedrouços,Belém
527,Rossio dos Olivais,Parque das Nações
528,Avenida de Pádua,Olivais
529,Avenida de Pádua,Parque das Nações
530,Rua Prof. Moisés Amzalak,Lumiar
531,Rua da Ilha dos Amores,Parque das Nações
532,Rua Comandante Cousteau,Parque das Nações
533,Rua Alexandre Herculano,Santo António
534,Rua António Albino Machado,São Domingos de Benfica
535,Largo da Anunciada,Santo António
536,Avenida Duque d'Ávila,Avenidas Novas
537,Avenida Luís Bivar,Avenidas Novas
538,Rua Filipe Folque,Avenidas Novas
539,Praça da Ilha do Faial,Arroios
540,Avenida Duque D´Ávila,Areeiro
541,Avenida Duque d'Ávila,Areeiro
542,Avenida António Augusto de Aguiar,Avenidas Novas
543,Rua Engenheiro Canto Resende,Avenidas Novas
544,Avenida dos Defensores de Chaves,Arroios
545,Rua Marquês de Fronteira,Avenidas Novas
546,Rua Pinheiro Chagas,Avenidas Novas
547,Travessa Aboím Ascensão,Alvalade
548,Avenida de Ceuta,Estrela
549,Largo do Rilvas,Estrela
550,Estrada do Loureiro,Estrela
551,Praça D. Pedro IV,Santa Maria Maior
552,Largo de São Martinho,Santa Maria Maior
553,Rua do Vigário,Santa Maria Maior
554,Largo do Museu de Artilharia,Santa Maria Maior
555,Rua de Santa Catarina,Misericórdia
556,Largo dos Lóios,Santa Maria Maior
557,Rua de Santa Cruz do Castelo,Santa Maria Maior
558,Rua Maria Pia,Estrela
559,Alameda Dom Afonso Henriques,Penha de França
560,Rua do Chão da Feira,Santa Maria Maior
561,Rua do Jardim do Tabaco,Santa Maria Maior
562,Rua Cidade de Cádiz,São Domingos de Benfica
563,Rua dos Arneiros,Benfica
564,Rua Prof. Jorge da Silva Horta,Benfica
565,Rua António Pinho,Benfica
566,Avenida Gomes Pereira,Benfica
