"especie_ID","ESPECIE_VA","NOME_VULGAR"
213,"Parkinsonia aculeata","espinheiro-de-Jerusalém"
214,"Persea americana","abacateiro"
215,"Persea indica","loureiro-real;vinhático"
216,"Phillyrea angustifolia","lentisco-bastardo"
217,"Phillyrea latifolia","aderno-de-folhas-largas"
218,"Phillyrea x hybrida","aderno-híbrido"
219,"Phoenix canariensis","palmeira-das-canárias"
220,"Phoenix dactylifera","tamareira"
221,"Phoenix reclinata","tamareira-do-senegal"
222,"Phoenix sp.","tamareira"
223,"Phoenix sylvestris","palmeira-da-índia"
224,"Photinia serratifolia","árvore-de-folhas-brilhantes"
225,"Photinia serrulata","fotónia-chinesa"
226,"Photinia x fraseri","fotínia"
227,"Photinia x fraseri var. Red Robin","fotínia"
228,"Phytolacca dioica","bela-sombra"
229,"Picea abies","pícea-europeia"
230,"Picea sp.","pícea"
231,"Pinus canariensis","pinheiro-das-canárias"
232,"Pinus halepensis","Pinheiro-de-Alepo"
233,"Pinus pinaster","pinheiro-bravo"
234,"Pinus pinea","pinheiro-manso"
235,"Pinus sp.","pinheiro"
236,"Pinus sylvestris","pinheiro-silvestre"
237,"Pistacia lentiscus","Aroeira"
238,"Pittosporum sp.","pitósporo"
239,"Pittosporum tobira","pitósporo-da-china"
240,"Pittosporum undulatum","árvore-incenso;pitósporo-do-incenso"
241,"Platanus × hispanica","plátano-híbrido"
242,"Platanus occidentalis","plátano-da-Virgínia"
243,"Platanus orientalis","plátano-oriental"
244,"Platanus sp.","plátano"
245,"Platanus x hybrida","plátano"
246,"Platycladus orientalis","biota-da-China"
247,"Plumbago capensis","bela-emília"
248,"Plumeria alba","jasmim-das-índias-ocidentais"
249,"Populus alba","choupo-branco"
250,"Populus alba var. bolleana","choupo-branco"
251,"Populus nigra","choupo-negro"
252,"Populus nigra var. italica","choupo-de-itália"
253,"Populus sp.","choupo"
254,"Populus tremula","faia-preta;choupo-tremedor"
255,"Populus x canadensis","choupo-do-Canadá"
256,"Populus x canescens","choupo-cinzento"
257,"Prunus amigdalus","amendoeira"
258,"Prunus armeniaca","damasqueiro-europeu"
259,"Prunus avium","cerejeira-brava"
260,"Prunus avium plena","Cerejeira"
261,"Prunus cerasifera","Ameixeira-de-jardim"
262,"Prunus cerasifera subsp. cerasifera","abrunheiro-dos-jardins"
263,"Prunus cerasifera subsp. pissardii","abrunheiro-dos-jardins"
264,"Prunus cerasifera var. atropurpurea","abrunheiro-dos-jardins"
265,"Prunus cerasus","ginjeira"
266,"Prunus domestica","ameixoeira"
267,"Prunus dulcis","amendoeira"
268,"Prunus laurocerasus","loureiro-cerejeira"
